filename,width,height,class,xmin,ymin,xmax,ymax
Untitled12.png,1920,1080,bobble,1044,238,1080,279
Untitled13.png,1920,1080,bobble,1292,212,1339,260
Untitled14.png,1920,1080,bobble,1426,163,1474,215
Untitled15.png,1920,1080,bobble,1130,153,1160,179
Untitled16.png,1920,1080,bobble,1006,187,1035,219
Untitled17.png,1920,1080,bobble,1258,253,1283,283
Untitled19.png,1920,1080,bobble,1540,238,1597,290
Untitled21.png,1920,1080,bobble,635,204,721,290
Untitled22.png,1920,1080,bobble,548,278,633,360
Untitled23.png,1920,1080,bobble,1080,276,1144,340
Untitled24.png,1920,1080,bobble,1069,279,1140,354
Untitled25.png,1920,1080,bobble,1080,274,1139,353
Untitled26.png,1920,1080,bobble,1140,287,1214,363
Untitled27.png,1920,1080,bobble,896,203,974,285
Untitled29.png,1920,1080,bobble,281,278,371,349
Untitled31.png,1920,1080,bobble,615,388,685,458
Untitled32.png,1920,1080,bobble,717,83,787,156
Untitled33.png,1920,1080,bobble,274,310,396,399
Untitled34.png,1920,1080,bobble,290,206,415,299
Untitled4.png,1920,1080,bobble,1167,322,1214,376
Untitled48.png,1920,1080,bobble,324,320,414,394
Untitled49.png,1920,1080,bobble,580,215,658,279
Untitled5.png,1920,1080,bobble,972,262,1005,297
Untitled51.png,1920,1080,bobber,696,298,757,350
Untitled52.png,1920,1080,bobber,438,185,506,245
Untitled53.png,1920,1080,bobber,817,218,896,284
Untitled54.png,1920,1080,bobber,1110,318,1167,372
Untitled55.png,1920,1080,bobber,1050,304,1112,348
Untitled56.png,1920,1080,bobber,907,309,966,361
Untitled57.png,1920,1080,bobber,474,309,561,366
Untitled58.png,1920,1080,bobber,538,299,617,353
Untitled59.png,1920,1080,bobber,478,322,592,402
Untitled6.png,1920,1080,bobble,943,167,989,218
Untitled7.png,1920,1080,bobble,949,183,1008,247
Untitled8.png,1920,1080,bobble,951,185,1008,233
Untitled9.png,1920,1080,bobble,921,126,996,208
